Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,1562.5
Sample Interval,12.5
Filter Frequency,2e+08
Record Length,1250
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,dB
Vertical Offset,0
Vertical Scale,20
Label,
FFT-FREQ,FFT-AMPL
4.650e+03,-8.33125
4.662e+03,-9.71875
4.675e+03,-11.1062
4.688e+03,-18.6937
4.700e+03,-26.2781
4.712e+03,-31.8906
4.725e+03,-37.5
4.738e+03,-24.6469
4.750e+03,-11.7906
4.762e+03,-9.69062
4.775e+03,-7.59062
4.788e+03,-11.1594
4.800e+03,-14.7281
4.812e+03,-18.3187
4.825e+03,-21.9062
4.838e+03,-25.1875
4.850e+03,-28.4688
4.862e+03,-19.0062
4.875e+03,-9.54375
4.888e+03,-9.90937
4.900e+03,-10.275
4.912e+03,-15.0719
4.925e+03,-19.8656
4.938e+03,-22.0469
4.950e+03,-24.225
4.962e+03,-20.6312
4.975e+03,-17.0375
4.988e+03,-12.6312
5.000e+03,-8.22187
5.012e+03,-10.425
5.025e+03,-12.6281
5.038e+03,-16.2375
5.050e+03,-19.8469
5.062e+03,-21.5594
5.075e+03,-23.2688
5.088e+03,-17.5969
5.100e+03,-11.925
5.112e+03,-10.6844
5.125e+03,-9.44062
5.138e+03,-12.3969
5.150e+03,-15.35
5.162e+03,-17.6094
5.175e+03,-19.8656
5.188e+03,-23.0719
5.200e+03,-26.2781
5.212e+03,-18.2437
5.225e+03,-10.2094
5.238e+03,-10.3562
5.250e+03,-10.5031
5.262e+03,-14.3562
5.275e+03,-18.2062
5.288e+03,-18.3875
5.300e+03,-18.5656
5.312e+03,-17.65
5.325e+03,-16.7344
5.338e+03,-13.1969
5.350e+03,-9.65625
5.362e+03,-11
5.375e+03,-12.3406
5.388e+03,-14.9812
5.400e+03,-17.6219
5.412e+03,-19.9031
5.425e+03,-22.1844
5.438e+03,-17.7312
5.450e+03,-13.275
5.462e+03,-11.3719
5.475e+03,-9.46562
5.488e+03,-12.6531
5.500e+03,-15.8406
5.512e+03,-15.9219
5.525e+03,-16
5.538e+03,-19.7594
5.550e+03,-23.5188
5.562e+03,-17.0938
5.575e+03,-10.6656
5.588e+03,-11.3719
5.600e+03,-12.0781
5.612e+03,-14.1062
5.625e+03,-16.1312
5.638e+03,-16.8156
5.650e+03,-17.5
5.662e+03,-17.6281
5.675e+03,-17.7562
5.688e+03,-13.9125
5.700e+03,-10.0656
5.712e+03,-11.8781
5.725e+03,-13.6875
5.738e+03,-15.0156
5.750e+03,-16.3438
5.762e+03,-17.8156
5.775e+03,-19.2875
5.788e+03,-16.2937
5.800e+03,-13.3
5.812e+03,-12.5125
